Store,StoreId,BusinessDate,StartTime,EndTime,DepartmentId,RoleId,LaborValue,AdjustedFTEQty
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T12:00:00Z,2024-12-08T12:14:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T12:15:00Z,2024-12-08T12:29:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T12:30:00Z,2024-12-08T12:44:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T12:45:00Z,2024-12-08T12:59:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T13:00:00Z,2024-12-08T13:14:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T13:15:00Z,2024-12-08T13:29:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T13:30:00Z,2024-12-08T13:44:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T13:45:00Z,2024-12-08T13:59:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T14:00:00Z,2024-12-08T14:14:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T14:15:00Z,2024-12-08T14:29:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T14:30:00Z,2024-12-08T14:44:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T14:45:00Z,2024-12-08T14:59:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T15:00:00Z,2024-12-08T15:14:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T15:15:00Z,2024-12-08T15:29:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T15:30:00Z,2024-12-08T15:44:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T15:45:00Z,2024-12-08T15:59:00Z,1000002,1000102,1,1
